code,onset,offset,code.value
touch_throw,00:00:00.000,00:00:04.371,"touch"
touch_throw,00:00:05.039,00:00:12.935,"touch"
touch_throw,00:00:13.581,00:00:14.080,"touch"
touch_throw,00:00:15.182,00:00:17.874,"touch"
touch_throw,00:00:18.887,00:00:26.448,"touch"
touch_throw,00:00:27.222,00:00:35.453,"touch"
touch_throw,00:00:35.876,00:00:47.280,"touch"
touch_throw,00:00:47.771,00:01:01.795,"touch"
touch_throw,00:01:03.564,00:01:04.240,"touch"
touch_throw,00:01:05.711,00:01:06.163,"touch"
touch_throw,00:01:09.150,00:01:25.526,"touch"
touch_throw,00:01:26.018,00:01:32.058,"touch"
touch_throw,00:01:32.693,00:01:33.226,"touch"
touch_throw,00:01:34.153,00:01:35.974,"touch"
touch_throw,00:01:38.104,00:01:53.179,"touch"
touch_throw,00:01:53.814,00:02:09.216,"touch"
hand_touch,00:00:05.086,00:00:12.879,"r"
hand_touch,00:00:09.710,00:00:12.079,"l"
hand_touch,00:00:15.494,00:00:17.851,"r"
hand_touch,00:00:19.053,00:00:23.590,"r"
hand_touch,00:00:27.461,00:00:35.368,"r"
hand_touch,00:00:35.970,00:00:43.543,"r"
hand_touch,00:00:37.271,00:00:44.545,"l"
hand_touch,00:00:44.545,00:00:46.613,"rl"
hand_touch,00:00:46.614,00:00:47.180,"r"
hand_touch,00:00:47.782,00:00:52.285,"r"
hand_touch,00:00:49.517,00:00:51.217,"l"
hand_touch,00:00:52.286,00:00:54.020,"rl"
hand_touch,00:00:54.021,00:00:56.790,"l"
hand_touch,00:00:54.889,00:01:01.628,"r"
hand_touch,00:01:03.564,00:01:03.696,"r"
hand_touch,00:01:03.697,00:01:04.063,"rl"
hand_touch,00:01:04.064,00:01:04.298,"r"
hand_touch,00:01:05.733,00:01:05.865,"r"
hand_touch,00:01:09.603,00:01:15.074,"r"
hand_touch,00:01:14.241,00:01:15.608,"l"
hand_touch,00:01:15.609,00:01:16.142,"rl"
hand_touch,00:01:16.143,00:01:18.845,"l"
hand_touch,00:01:19.513,00:01:22.616,"r"
hand_touch,00:01:22.483,00:01:23.652,"r"
hand_touch,00:01:23.653,00:01:23.652,"rl"
hand_touch,00:01:24.652,00:01:25.485,"r"
hand_touch,00:01:26.021,00:01:27.588,"r"
hand_touch,00:01:26.687,00:01:28.576,"l"
hand_touch,00:01:28.923,00:01:30.156,"r"
hand_touch,00:01:28.923,00:01:31.725,"l"
hand_touch,00:01:32.693,00:01:33.226,"r"
hand_touch,00:01:34.228,00:01:35.929,"r"
hand_touch,00:01:38.265,00:01:46.005,"r"
hand_touch,00:01:46.006,00:01:46.105,"rl"
hand_touch,00:01:46.106,00:01:51.277,"l"
hand_touch,00:01:51.278,00:01:51.711,"rl"
hand_touch,00:01:51.712,00:01:53.112,"r"
hand_touch,00:01:53.981,00:01:56.349,"r"
hand_touch,00:01:56.350,00:01:57.317,"rl"
hand_touch,00:01:57.318,00:01:58.051,"l"
hand_touch,00:01:58.052,00:02:01.488,"rl"
hand_touch,00:02:01.489,00:02:09.216,"l"
motormov,00:00:05.895,00:00:07.513,"stacking"
motormov,00:00:08.040,00:00:09.825,"stacking"
motormov,00:00:16.528,00:00:17.210,"unstacking"
motormov,00:00:17.586,00:00:18.664,"stacking"
motormov,00:00:32.796,00:00:36.114,"stacking"
motormov,00:00:37.160,00:00:38.726,"unstacking"
motormov,00:00:39.841,00:00:44.576,"stacking"
motormov,00:00:45.924,00:00:47.871,"stacking"
motormov,00:00:49.497,00:00:50.421,"unstacking"
motormov,00:00:50.700,00:00:51.815,"stacking"
motormov,00:00:52.595,00:00:53.515,"stacking"
motormov,00:00:55.437,00:00:57.085,"stacking"
motormov,00:01:15.500,00:01:17.043,"stacking"
motormov,00:01:23.189,00:01:25.441,"stacking"
motormov,00:01:27.015,00:01:28.535,"unstacking"
motormov,00:01:29.016,00:01:31.365,"stacking"
motormov,00:01:35.218,00:01:36.321,"stacking"
motormov,00:01:38.235,00:01:39.551,"unstacking"
motormov,00:01:52.246,00:01:53.763,"stacking"
motormov,00:01:58.945,00:02:01.610,"drinking"
motormov,00:02:05.501,00:02:06.609,"drinking"
