code,onset,offset,code.value
touch_throw,00:00:00.000,00:00:12.783,"touch"
touch_throw,00:00:14.635,00:00:17.849,-
touch_throw,00:00:18.028,00:00:19.617,-
touch_throw,00:00:20.167,00:00:28.151,"touch"
touch_throw,00:00:29.096,00:00:28.899,"touch"
touch_throw,00:00:32.108,00:00:35.019,-
touch_throw,00:00:37.751,00:00:38.623,-
touch_throw,00:00:39.825,00:00:43.383,-
touch_throw,00:00:44.228,00:00:47.055,-
touch_throw,00:00:47.667,00:00:52.427,-
touch_throw,00:00:52.745,00:00:56.711,-
touch_throw,00:00:57.201,00:00:59.193,-
touch_throw,00:00:59.899,00:01:02.117,-
touch_throw,00:01:38.970,00:01:50.669,"touch"
touch_throw,00:01:53.529,00:02:09.728,"touch"
hand_touch,00:00:00.000,00:00:01.167,"r"
hand_touch,00:00:01.168,00:00:02.002,"rl"
hand_touch,00:00:02.002,00:00:07.507,"r"
hand_touch,00:00:07.508,00:00:09.109,"rl"
hand_touch,00:00:09.110,00:00:09.509,"r"
hand_touch,00:00:14.649,00:00:15.582,"r"
hand_touch,00:00:15.583,00:00:17.150,"rl"
hand_touch,00:00:17.151,00:00:17.517,"l"
hand_touch,00:00:17.952,00:00:19.052,"r"
hand_touch,00:00:19.787,00:00:21.655,"r"
hand_touch,00:00:21.821,00:00:22.256,"rl"
hand_touch,00:00:22.256,00:00:26.293,"l"
hand_touch,00:00:28.462,00:00:28.461,"r"
hand_touch,00:00:31.866,00:00:32.967,"r"
hand_touch,00:00:32.967,00:00:33.833,"rl"
hand_touch,00:00:33.834,00:00:34.200,"r"
hand_touch,00:00:36.337,00:00:36.770,"l"
hand_touch,00:00:36.771,00:00:37.303,"rl"
hand_touch,00:00:37.304,00:00:37.971,"r"
hand_touch,00:00:39.890,00:00:41.158,"r"
hand_touch,00:00:41.158,00:00:42.492,"rl"
hand_touch,00:00:42.493,00:00:42.859,"r"
hand_touch,00:00:43.894,00:00:44.994,"r"
hand_touch,00:00:44.995,00:00:46.362,"rl"
hand_touch,00:00:46.363,00:00:46.496,"r"
hand_touch,00:00:47.464,00:00:49.366,"r"
hand_touch,00:00:49.367,00:00:49.732,"rl"
hand_touch,00:00:49.733,00:00:50.266,"l"
hand_touch,00:00:50.267,00:00:50.867,"rl"
hand_touch,00:00:50.868,00:00:51.768,"r"
hand_touch,00:00:52.636,00:00:53.736,"r"
hand_touch,00:00:53.737,00:00:55.605,"rl"
hand_touch,00:00:55.606,00:00:55.905,"r"
hand_touch,00:00:56.607,00:00:58.641,"r"
hand_touch,00:00:59.543,00:01:00.510,"r"
hand_touch,00:01:00.511,00:01:01.477,"rl"
hand_touch,00:01:01.478,00:01:01.677,"r"
hand_touch,00:01:37.147,00:01:41.217,"r"
hand_touch,00:01:41.218,00:01:44.053,"rl"
hand_touch,00:01:53.529,00:02:09.728,"r"
