code,onset,offset,code.value
touch_throw,00:03:15.847,00:04:00.419,"touch"
touch_throw,00:04:11.019,00:05:14.182,"touch"
hand_touch,00:03:15.930,00:03:18.331,"r"
hand_touch,00:03:18.332,00:03:18.631,"rl"
hand_touch,00:03:18.632,00:03:18.966,"r"
hand_touch,00:03:18.967,00:03:19.532,"rl"
hand_touch,00:03:19.533,00:03:19.999,"l"
hand_touch,00:03:20.000,00:03:20.867,"rl"
hand_touch,00:03:20.868,00:03:25.339,"r"
hand_touch,00:03:20.868,00:03:25.673,"l"
hand_touch,00:03:25.706,00:03:28.008,"r"
hand_touch,00:03:26.473,00:03:28.508,"l"
hand_touch,00:03:28.509,00:03:28.889,"rl"
hand_touch,00:03:28.890,00:03:35.316,"r"
hand_touch,00:03:28.890,00:03:41.754,"l"
hand_touch,00:03:35.849,00:03:40.453,"r"
hand_touch,00:03:41.288,00:03:41.755,"rl"
hand_touch,00:03:41.755,00:03:42.389,"r"
hand_touch,00:03:42.923,00:03:48.336,"l"
hand_touch,00:03:47.321,00:03:48.336,"r"
hand_touch,00:03:54.587,00:04:00.419,"r"
hand_touch,00:04:11.019,00:04:21.542,"r"
hand_touch,00:04:16.392,00:04:27.648,"l"
hand_touch,00:04:22.129,00:04:28.234,"r"
hand_touch,00:04:27.983,00:04:46.746,"l"
hand_touch,00:04:33.407,00:04:40.280,"r"
hand_touch,00:04:46.746,00:05:03.967,"rl"
hand_touch,00:05:03.968,00:05:14.182,"r"
hand_touch,00:05:03.968,00:05:14.182,"l"
motormov,00:03:15.847,00:03:22.539,"unstacking"
motormov,00:03:23.130,00:03:25.700,"stacking"
motormov,00:03:25.758,00:03:29.728,"unstacking"
motormov,00:03:32.781,00:03:35.241,"stacking"
motormov,00:03:46.743,00:00:00.000,"unstacking"
motormov,00:03:48.125,00:03:52.466,"stakcing"
motormov,00:04:12.390,00:04:13.241,"unstacking"
motormov,00:04:15.172,00:04:21.056,"stacking"
motormov,00:04:21.568,00:04:24.723,"unstacking"
motormov,00:04:24.805,00:04:26.697,"stacking"
motormov,00:04:32.652,00:04:37.460,"stacking"
motormov,00:05:03.894,00:05:04.278,"unstacking"
motormov,00:05:04.289,00:05:05.935,"stacking"
motormov,00:05:07.983,00:05:08.291,"unstacking"
motormov,00:05:08.291,00:05:09.141,"stacking"
motormov,00:05:09.441,00:05:09.666,"unstacking"
motormov,00:05:09.666,00:05:09.742,"stacking"
motormov,00:05:10.171,00:05:10.477,"unstacking"
motormov,00:05:10.477,00:05:10.594,"stacking"
motormov,00:05:10.771,00:05:11.011,"unstacking"
motormov,00:05:11.011,00:05:11.084,"stacking"
motormov,00:05:11.089,00:05:11.340,"unstacking"
motormov,00:05:11.371,00:05:11.505,"stacking"
motormov,00:05:11.536,00:05:14.182,-
