code,onset,offset,code.value
Crawling,00:00:00.000,00:00:00.000,-
Crawling,00:00:00.000,00:00:00.000,-
Crawling,00:00:00.000,00:00:00.000,-
Crawling,00:00:08.774,00:01:08.524,"hk"
Crawling,00:01:34.589,00:01:41.687,"hk"
Crawling,00:06:50.279,00:06:53.279,"hk"
Crawling,00:06:59.993,00:07:05.077,"hk"
Crawling,00:07:06.224,00:07:12.179,"hk"
Crawling,00:12:52.417,00:12:58.027,"hk"
Crawling,00:17:11.112,00:17:16.940,"hk"
Crawling,00:21:23.399,00:21:34.127,"hk"
Crawling,00:24:59.098,00:25:03.280,"hk"
Crawling,00:25:12.486,00:25:23.583,"hk"
Crawling,00:26:33.122,00:26:49.551,"hk"
Crawling,00:38:32.747,00:38:41.114,"hk"
Crawling,00:40:41.076,00:40:47.244,"hk"
Crawling,00:40:54.879,00:41:04.831,"hk"
Crawling,00:41:39.626,00:41:49.792,"hk"
Crawling,00:44:36.159,00:44:43.820,"hk"
Crawling,00:44:44.949,00:44:52.670,"hk"
Crawling,00:45:16.529,00:45:36.881,"hk"
Crawling,00:45:48.148,00:45:52.919,"hk"
Crawling,00:47:18.672,00:47:23.199,"hk"
Crawling,00:47:31.329,00:47:38.088,"hk"
Crawling,00:47:38.414,00:00:00.000,"hk"
Crawling,00:47:38.414,00:00:00.000,"hk"
Crawling,00:59:11.810,00:00:00.000,"hk"
R_Initiation,00:00:00.000,00:00:00.000,-
R_Initiation,00:17:17.816,00:00:00.000,"c"
R_Initiation,00:21:23.399,00:21:34.127,"c"
R_Initiation,00:24:59.098,00:25:03.280,"c"
R_Initiation,00:25:12.486,00:25:23.583,"c"
R_Initiation,00:26:33.122,00:26:49.551,"c"
R_Initiation,00:38:32.747,00:38:41.114,"c"
R_Initiation,00:40:41.076,00:40:47.244,"c"
R_Initiation,00:40:54.879,00:41:04.831,"c"
R_Initiation,00:41:39.626,00:41:49.792,"c"
R_Initiation,00:44:36.159,00:44:43.820,"c"
R_Initiation,00:44:44.949,00:44:52.670,"c"
R_Initiation,00:45:16.529,00:45:36.881,"c"
R_Initiation,00:45:48.148,00:45:52.919,"c"
R_Initiation,00:47:18.672,00:47:23.199,"c"
R_Initiation,00:47:31.329,00:47:38.088,"c"
L_Initiation,00:00:00.000,00:00:00.000,-
L_Initiation,00:00:08.774,00:00:17.080,"c"
L_Initiation,00:00:59.594,00:01:08.524,"c"
L_Initiation,00:01:34.589,00:01:41.687,"c"
L_Initiation,00:06:50.279,00:06:53.279,"c"
L_Initiation,00:06:59.993,00:07:05.077,"c"
L_Initiation,00:07:06.224,00:07:12.179,"c"
L_Initiation,00:12:52.417,00:12:58.027,"c"
