code,onset,offset,code.value
touch_throw,00:00:00.000,00:00:03.059,"touch"
touch_throw,00:00:04.133,00:00:05.303,"touch"
touch_throw,00:00:06.536,00:00:08.431,"touch"
touch_throw,00:00:08.766,00:00:16.659,"touch"
touch_throw,00:00:17.296,00:00:32.401,"touch"
touch_throw,00:00:32.790,00:00:39.337,"touch"
touch_throw,00:00:39.555,00:00:50.251,"touch"
touch_throw,00:00:51.306,00:00:53.243,"touch"
touch_throw,00:00:53.244,00:00:55.623,"touch"
touch_throw,00:00:56.329,00:01:02.151,"touch"
touch_throw,00:01:04.407,00:01:59.237,"touch"
touch_throw,00:02:03.284,00:02:15.142,"touch"
hand_touch,00:00:00.000,00:00:02.447,"r"
hand_touch,00:00:03.361,00:00:05.677,"r"
hand_touch,00:00:06.539,00:00:08.227,"l"
hand_touch,00:00:08.916,00:00:13.429,"l"
hand_touch,00:00:13.430,00:00:15.503,"rl"
hand_touch,00:00:15.504,00:00:16.557,"r"
hand_touch,00:00:17.100,00:00:18.801,"r"
hand_touch,00:00:18.802,00:00:22.269,"rl"
hand_touch,00:00:22.270,00:00:23.119,"l"
hand_touch,00:00:24.862,00:00:29.987,"rl"
hand_touch,00:00:31.607,00:00:34.985,"r"
hand_touch,00:00:34.986,00:00:37.025,"rl"
hand_touch,00:00:37.026,00:00:39.201,"l"
hand_touch,00:00:39.729,00:00:43.764,"r"
hand_touch,00:00:43.765,00:00:46.749,"rl"
hand_touch,00:00:47.572,00:00:50.047,"r"
hand_touch,00:00:51.319,00:00:53.277,"r"
hand_touch,00:00:56.362,00:00:57.289,"r"
hand_touch,00:00:57.290,00:00:58.819,"l"
hand_touch,00:00:58.820,00:01:01.607,"rl"
hand_touch,00:01:04.228,00:01:05.313,"r"
hand_touch,00:01:05.314,00:01:14.935,"rl"
hand_touch,00:01:14.936,00:01:17.859,"l"
hand_touch,00:01:17.860,00:01:20.783,"rl"
hand_touch,00:01:20.784,00:01:23.265,"r"
hand_touch,00:01:23.266,00:01:26.869,"l"
hand_touch,00:01:27.133,00:01:44.549,"rl"
hand_touch,00:01:45.109,00:01:46.317,"l"
hand_touch,00:01:46.318,00:01:49.568,"rl"
hand_touch,00:01:54.908,00:02:03.147,"l"
hand_touch,00:02:03.148,00:02:08.077,"rl"
hand_touch,00:02:08.078,00:02:09.131,"l"
hand_touch,00:02:09.132,00:02:10.899,"rl"
hand_touch,00:02:12.876,00:02:13.721,"rl"
hand_touch,00:02:13.722,00:02:16.235,"l"
